asn=503  	id=14  	Node	scanning on channel=26...[NODE]
asn=581  	id=8   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=581  	id=8   	Node	Nexthop id: 4 found for destination: 1 [ROUTE]
asn=581  	id=8   	App	generate a packet, seqnum=1 for=1 [PACKET_SOURCE]
asn=581  	id=8   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=581  	id=8   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=581  	id=8   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=581  	id=8   	TSCH	schedule packet [src: 8, dest: 4, seqnum: 1], channel offset=1 timeslot=7[SCHEDULER NEW]
asn=581  	id=8   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=583  	id=4   	Node	add neighbor id=8 [NODE]
asn=583  	id=4   	Node	Add_route called from ensure neighbor
asn=583  	id=4   	Node	Get Nexthop id for destination: -1 [ROUTE]
asn=583  	id=4   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=583  	id=4   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=583  	id=4   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=583  	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=583  	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=583  	id=4   	TSCH	schedule packet [src: 8, dest: 1, seqnum: 1], channel offset=2 timeslot=3[SCHEDULER NEW]
asn=583  	id=4   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=583  	id=8   	Node	tx done from=8 source=8 to=4 destination=1 numtx=1 seqnum=1 packet buffer: timeslot: 7 channel offset: 1 acked=true, remove packet[NODE]
asn=583  	id=8   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=583  	id=8   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=589  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
