asn=375  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=376  	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=378  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=379  	id=7   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=386  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=391  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=398  	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=402  	id=5   	Node	scanning on channel=15...[NODE]
asn=402  	id=10  	Node	scanning on channel=14...[NODE]
asn=402  	id=6   	Node	scanning on channel=24...[NODE]
asn=402  	id=13  	Node	scanning on channel=24...[NODE]
asn=402  	id=3   	Node	scanning on channel=25...[NODE]
asn=402  	id=11  	Node	scanning on channel=23...[NODE]
asn=402  	id=8   	Node	scanning on channel=17...[NODE]
asn=402  	id=7   	Node	scanning on channel=19...[NODE]
asn=402  	id=9   	Node	scanning on channel=21...[NODE]
