asn=168  	id=4   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=174  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=181  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=181  	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=193  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=195  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=200  	id=11  	Node	scanning on channel=14...[NODE]
asn=200  	id=2   	Node	scanning on channel=19...[NODE]
asn=200  	id=14  	Node	scanning on channel=13...[NODE]
asn=200  	id=6   	Node	scanning on channel=25...[NODE]
asn=200  	id=3   	Node	scanning on channel=13...[NODE]
asn=200  	id=7   	Node	scanning on channel=14...[NODE]
asn=200  	id=5   	Node	scanning on channel=20...[NODE]
asn=200  	id=4   	Node	scanning on channel=26...[NODE]
asn=200  	id=10  	Node	scanning on channel=21...[NODE]
asn=200  	id=13  	Node	scanning on channel=13...[NODE]
asn=200  	id=9   	Node	scanning on channel=12...[NODE]
asn=200  	id=8   	Node	scanning on channel=16...[NODE]
asn=200  	id=12  	Node	scanning on channel=22...[NODE]
asn=201  	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=209  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
